interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12612,-61.47479587134527,15.365007327906122
12613,-61.4747955815168,15.365008589270559
12614,-61.474795340369056,15.36500996480176
12615,-61.474795147902036,15.365011454499728
12616,-61.47479500411575,15.365013058364461
12617,-61.47479490901016,15.365014776395956
12618,-61.47479486258529,15.365016608594216
12619,-61.47479486484115,15.365018554959242
12620,-61.47479491577772,15.365020615491034
12621,-61.474795015395,15.365022790189586
12622,-61.47479516369303,15.36502507905491
12623,-61.47479536067175,15.365027482086992
12624,-61.474795606331206,15.365029999285845
12625,-61.474795900671374,15.36503263065146
12626,-61.47479624369227,15.36503537618384
12627,-61.47479663539387,15.365038235882984
12628,-61.474797075776195,15.365041209748892
12629,-61.474797564839236,15.365044297781566
12630,-61.47479810258301,15.365047499981008
12631,-61.47479868900748,15.36505081634721
12632,-61.47479932411268,15.365054246880177
12633,-61.4748000078986,15.365057791579913
12634,-61.47480074036524,15.365061450446408
12635,-61.4748015215126,15.365065223479675
12636,-61.47480235134067,15.365069110679698
12637,-61.474803229849456,15.365073112046494
12638,-61.47480415703898,15.365077227580052
12639,-61.47480513290922,15.365081457280375
12640,-61.474806157460165,15.36508580114746
12641,-61.47480723069183,15.365090259181313
12642,-61.47480835260423,15.365094831381928
12643,-61.47480952319732,15.365099517749309
12644,-61.47481074247116,15.365104318283459
12645,-61.4748120104257,15.365109232984366
12646,-61.47481332706097,15.365114261852046
12647,-61.47481469237695,15.365119404886485
12648,-61.47481610637365,15.36512466208769
12649,-61.47481756905108,15.365130033455662
12650,-61.474819080409205,15.365135518990396
12651,-61.47482064044808,15.365141118691897
12652,-61.474822249167644,15.365146832560162
12653,-61.474823906567956,15.365152660595193
12654,-61.47482561264897,15.365158602796985
12655,-61.4748273674107,15.365164659165544
12656,-61.47482917085316,15.36517082970087
12657,-61.47483102297632,15.365177114402957
12658,-61.47483292378022,15.365183513271813
12659,-61.474834873264825,15.365190026307431
12660,-61.47483686341138,15.36519664197223
12661,-61.474838846107126,15.365203291040688
12662,-61.47484081333326,15.365209961975212
12663,-61.47484276508982,15.365216654775816
12664,-61.474844701376796,15.365223369442488
12665,-61.47484662219418,15.365230105975238
12666,-61.474848527541965,15.365236864374053
12667,-61.47485041742016,15.365243644638943
12668,-61.47485229182877,15.365250446769908
12669,-61.47485415076778,15.365257270766945
12670,-61.47485599423722,15.365264116630051
12671,-61.47485782223706,15.365270984359238
12672,-61.47485963476731,15.365277873954492
12673,-61.47486143182797,15.365284785415815
12674,-61.474863213419034,15.365291718743215
12675,-61.47486497954052,15.365298673936687
12676,-61.47486673019241,15.365305650996232
12677,-61.474868465374705,15.365312649921847
12678,-61.47487018508741,15.365319670713536
12679,-61.474871889330544,15.3653267133713
12680,-61.47487357810406,15.365333777895133
12681,-61.474875251408,15.365340864285038
12682,-61.47487690924235,15.36534797254102
12683,-61.47487855160712,15.365355102663074
12684,-61.47488017850228,15.365362254651197
12685,-61.47488178992786,15.365369428505394
12686,-61.47488338588385,15.365376624225664
12687,-61.47488496637025,15.365383841812006
12688,-61.47488653138706,15.36539108126442
12689,-61.47488808093428,15.365398342582905
12690,-61.47488961501192,15.365405625767467
12691,-61.47489113361995,15.3654129308181
12692,-61.474892636758405,15.365420257734803
12693,-61.474894124427266,15.365427606517581
12694,-61.474895596626546,15.365434977166432
12695,-61.47489705335621,15.365442369681352
12696,-61.474898494616305,15.36544978406235
12697,-61.47489992040682,15.36545722030942
12698,-61.47490133072771,15.365464678422557
12699,-61.474902725579035,15.36547215840177
12700,-61.474904104960764,15.365479660247054
12701,-61.474905468872905,15.365487183958415
12702,-61.47490681731546,15.365494729535843
12703,-61.474908150288414,15.365502296979344
12704,-61.47490946779179,15.365509886288923
